index,model,language,source,hypothesis,corrected_ref,is_error,error_category,justification
0,NLLB,hau,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","Ya kara da cewa: ""Yanzu muna da beraye masu wata huɗu da ba su da ciwon sukari, kuma a dā suna da ciwon sukari"".","“Yanzu muna bera mai watanni 4 wadanda ba su da ciwon sukari ba wadanda ke da suke fama da ciwon sukari,” in ji shi.",False,No Error,"The MT Hypothesis provides an accurate and fluent translation of the source text. It correctly renders 'mice' as plural ('beraye') and accurately conveys '4-month-old' ('masu wata huɗu') and 'used to be diabetic' ('kuma a dā suna da ciwon sukari'). The placement of the reported speech ('Ya kara da cewa:') is also idiomatic in Hausa. The provided 'Correct Reference' has issues with number agreement ('bera' for 'mice') and less accurate phrasing for 'used to be diabetic' ('suke fama' implying current suffering), making the MT Hypothesis a more faithful translation."
1,NLLB,hau,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dokta Ehud Ur, farfesa a jami'ar Dalhousie da ke Halifax, Nova Scotia kuma shugaban sashen kula da cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan da cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtukan cututtuka.","Dokta Ehud Ur, farfesan magani a Jami’ar Dalhousie da ke Halifax, Nova Scotia kuma shugaban sashen likitanci da bangaren kimiyya na kungiyar masu ciwon sikari ta Kanada ya yi gargadin cewa har yanzu binciken yana kan farkonsa.",True,Fluency/Style,"The MT hypothesis contains an extreme and repetitive error in the translation of 'clinical and scientific division', rendering the sentence completely unintelligible. The phrase 'cututtukan cututtukan' (meaning 'diseases of diseases') is repeated excessively, leading to total loss of meaning and fluency."
2,NLLB,hau,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kamar wasu masana, yana da shakku game da ko za a iya warkar da ciwon sukari, yana lura cewa waɗannan binciken ba su da amfani ga mutanen da suke da ciwon sukari na Type 1.","Kamar wasu ƙwararrun, yana da shakkun cewa ko za a iya warkar da ciwon sukari, inda ya bayyana cewa sakamakon bincike ba shi da alaƙa da mutanen da tuni su ke da nau’in ciwon sukari na 1.",True,Meaning/Semantics,"The MT mistranslates 'have no relevance' as 'ba su da amfani' (have no use/are useless), which significantly alters the original meaning. The correct translation should convey 'no relation' or 'no relevance' (e.g., 'ba shi da alaƙa'). Additionally, the MT omits the word 'already' from 'people who already have Type 1 diabetes,' which impacts the completeness and nuance of the sentence. The phrasing for 'noting that' ('yana lura cewa') is also less idiomatic than the reference's 'inda ya bayyana cewa' for this context."
3,NLLB,hau,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","A ranar Litinin, Sara Danius, sakatare na dindindin na Kwamitin Nobel don Adabi a Kwalejin Sweden, ta sanar a fili a lokacin wani shirin rediyo a Sveriges Radio a Sweden kwamitin, ba zai iya tuntuɓar Bob Dylan kai tsaye game da lashe kyautar Nobel na Adabi ta 2016, ya watsar da ƙoƙarinsa don isa gare shi.","A ranar Litinin, Sara Danius, sakatariyar dindindin ta Kwamitin Adabi na kungiyar nagartattu a Kwalejin Nazarin Sweden, ta sanar a bainar jama'a yayin wani shirin rediyo a Sveriges Radio a Sweden kwamitin, ba zai iya kaiwa ga Bob Dylan kai tsaye ba game da lashe kyautar Nobel ta 2016 a Adabi, ta yi watsi da ita kokarinta na isa gare shi.",True,Grammar/Syntax,"The MT uses the masculine form 'sakatare na dindindin' for 'permanent secretary' when referring to Sara Danius, who is female. The correct feminine form 'sakatariyar dindindin' should have been used for proper gender agreement."
4,NLLB,hau,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius ya ce, ""A yanzu ba mu yi kome ba. Na kira kuma na aika imel zuwa ga abokin aikinsa mafi kusa kuma na karɓi amsoshi masu kyau. A yanzu, wannan ya isa"".","Danius ya ce, “Yanzu haka ba mwa yin komi. Na kira na kuma aika emails zuwa abokan aikinsa na kusa na kuma anshi amsoshi masu kyau. A yanzu haka, wannan bai isa ba.”",True,Grammar/Syntax,The MT incorrectly translates 'we are doing nothing' (present continuous) as 'we did nothing' (past tense: 'ba mu yi kome ba'). The correct reference 'ba mwa yin komi' accurately conveys the present continuous tense.
5,NLLB,hau,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","A baya, Shugaba na Ring, Jamie Siminoff, ya lura da kamfanin ya fara ne lokacin da ba a ji kararrawar kofarsa daga shagonsa a garejinsa.","A baya, Shugaban kamfanin Ring, Jamie Siminoff, ya bayyana cewa kamfanin ya fara lokacin da ba a jiyo sauti kararrawar jikin ƙofar sa daga shagonsa a cikin garejinsa.",True,Meaning/Semantics,"The MT incorrectly translated 'remarked' as 'ya lura da' (noticed/observed) instead of 'ya bayyana cewa' (stated/declared), which significantly alters the original meaning of the sentence. Additionally, the translation for 'wasn't audible' ('ba a ji') is less precise than the reference's 'ba a jiyo sauti' which better conveys audibility."
6,NLLB,hau,"He built a WiFi door bell, he said.","Ya ce ya gina ƙofar ƙofar WiFi, ya ce.","Ya ce, ya gina ƙararrawar ƙofa ta WiFi.",True,Meaning/Semantics,"The MT translated ""door bell"" as ""ƙofar ƙofar"" (door door), which is an incorrect translation that fundamentally alters the meaning of the object built. The correct term for ""doorbell"" in Hausa is ""ƙararrawar ƙofa"". Additionally, the phrase ""ya ce"" is repeated unnecessarily, affecting the fluency and naturalness of the sentence."
7,NLLB,hau,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff ya ce tallace-tallace sun karu bayan fitowarsa a 2013 a cikin wani labarin Shark Tank inda kwamitin wasan kwaikwayon ya ƙi tallafawa farawa.,Siminoff yace ciniki ya karu baya futuwar sa ta 2013 a shinrin wasan kwaikwayin Shark Tank inda masu shirin suka ki biyan kudin sabuwar sana'ar.,True,Word Choice/Lexicon,"The MT translates ""episode"" as ""labarin"" which means ""story"" or ""news article"". The correct term for an episode of a TV show would be ""shirin"" or ""kashi"" as used in the reference (""shirin wasan kwaikwayon""), making the MT's choice inappropriate for the context."
8,NLLB,hau,"In late 2017, Siminoff appeared on shopping television channel QVC.","A ƙarshen 2017, Siminoff ya bayyana a tashar talabijin ta QVC.","A ƙarshen 2017, Siminoff ya bayyana a tashar telebijin mai sayarwa ta QVC.",True,Meaning/Semantics,"The MT hypothesis omits the translation for 'shopping' (mai sayarwa) when describing the television channel. The source specifies it as a 'shopping television channel,' but the MT translates it simply as 'television channel,' which loses a key semantic detail about the channel's purpose."
9,NLLB,hau,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring kuma ya warware karar da kamfanin tsaro mai fafatawa, ADT Corporation.",Ring ta kuma sasanta takardar kotu tsakanin wata kamfanin adawa na tsaro wato ADT Corporation.,True,Grammar/Syntax,"The MT uses the masculine pronoun 'ya' instead of the correct feminine 'ta' for 'Ring' (a company/entity), which is a grammatical agreement error. Additionally, the verb 'warware' (resolved) is less precise for 'settled a lawsuit' than 'sasanta' (reconciled/settled a dispute) as used in the reference. The phrasing 'karar da kamfanin tsaro' is also less idiomatic and precise than 'takardar kotu tsakanin wata kamfanin adawa na tsaro' for this context."
